FROM,To,Relation
VEN0001,PP0001,HavePrice
VEN0001,PP0002,HavePrice
VEN0001,PP0003,HavePrice
VEN0001,PP0004,HavePrice
VEN0001,PP0005,HavePrice
VEN0001,PP0006,HavePrice
VEN0001,PP0007,HavePrice
VEN0001,PP0008,HavePrice
VEN0001,PP0009,HavePrice
VEN0001,PP0010,HavePrice
VEN0001,PP0011,HavePrice
VEN0001,PP0012,HavePrice
VEN0001,PP0013,HavePrice
VEN0001,PP0014,HavePrice
VEN0001,PP0015,HavePrice
VEN0001,PP0016,HavePrice
VEN0001,PP0017,HavePrice
VEN0001,PP0018,HavePrice
VEN0001,PP0019,HavePrice
VEN0002,PP0020,HavePrice
VEN0002,PP0021,HavePrice
VEN0002,PP0022,HavePrice
VEN0002,PP0023,HavePrice
VEN0002,PP0024,HavePrice
VEN0002,PP0025,HavePrice
VEN0002,PP0026,HavePrice
VEN0002,PP0027,HavePrice
VEN0003,PP0028,HavePrice
VEN0003,PP0029,HavePrice
VEN0003,PP0030,HavePrice
VEN0003,PP0031,HavePrice
VEN0003,PP0032,HavePrice
VEN0003,PP0033,HavePrice
VEN0003,PP0034,HavePrice
VEN0003,PP0035,HavePrice
VEN0004,PP0036,HavePrice
VEN0004,PP0037,HavePrice
VEN0004,PP0038,HavePrice
VEN0004,PP0039,HavePrice
VEN0004,PP0040,HavePrice
VEN0004,PP0041,HavePrice
VEN0004,PP0042,HavePrice
VEN0005,PP0043,HavePrice
VEN0005,PP0044,HavePrice
VEN0005,PP0045,HavePrice
VEN0005,PP0046,HavePrice
VEN0005,PP0047,HavePrice
VEN0005,PP0048,HavePrice
VEN0005,PP0049,HavePrice
